FMTNAME,START,LABEL
DRDIFDCD,11740302,"NUTRAMIGEN, W/ IRON, INFANT FORMULA, FR  LIQUID CONCENTRATE"
DRDIFDCD,11740403,"PREGESTIMIL, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER"
DRDIFDCD,11810000,"MILK, DRY, NOT RECONSTITUTED, NS AS TO FAT"
DRDIFDCD,11811000,"MILK, DRY, WHOLE, NOT RECONSTITUTED"
DRDIFDCD,11813000,"MILK, DRY, NONFAT, NOT RECONSTITUTED"
DRDIFDCD,11830100,"COCOA W/DRY MILK & SUGAR, DRY MIX, NOT RECONST"
DRDIFDCD,11830110,"COCOA POWDER W/ NFD MILK, LOW CAL SWEETENER, DRY"
DRDIFDCD,11830150,"COCOA POWDER, NOT RECONSTITUTED (NO DRY MILK)"
DRDIFDCD,11830160,"COCOA-FLAVORED BEVERAGE POWDER W/ SUGAR, DRY MIX"
DRDIFDCD,11830170,"COCOA, WHEY, LO CAL SWEETNER MIX, NOT RECONST"
DRDIFDCD,11830200,"MILK, MALTED, DRY, UNFORTIFD, NOT RECONST, NOT CHOC"
DRDIFDCD,11830210,"MILK, MALTED, DRY, FORTIFD, NOT RECONST, NOT CHOC"
DRDIFDCD,11830260,"MILK, MALTED, DRY, FORTIFIED, NOT RECONST, CHOC"
DRDIFDCD,11830400,"MILK BEV POWDER, DRY, NOT RECONST, NOT CHOC"
DRDIFDCD,11830450,"MILK BEV MIX, W/ SUGAR,EGG WHITE, NOT RECONSTITUTED"
DRDIFDCD,11830800,"INSTANT BREAKFAST POWDER, NOT RECONSTITUTED"
DRDIFDCD,11830900,"PROTEIN SUPPLEMENT, MILK BASED, DRY POWDER"
DRDIFDCD,11830940,"MEAL REPLACEMENT,PROTEIN,MILK BASED,FRUIT JUICE MIX"
DRDIFDCD,11830970,"MEAL REPLACEMENT, PROTEIN TYPE, MILK-BASE, POWDER"
DRDIFDCD,11831500,"NUTRIENT SUPPLEMENT,MILK-BASE,HIGH PROT,NOT RECONST"
DRDIFDCD,11832000,"MEAL REPLACEMENT,MILK-&SOY-BASE,POWDER,NOT RECONST"
DRDIFDCD,11835100,"MEAL REPLACEMENT, POSITRIM DRINK MIX, DRY POWDER"
DRDIFDCD,12100100,"CREAM, FLUID, NS AS TO LIGHT, HEAVY OR HALF & HALF"
DRDIFDCD,12110100,"CREAM, LIGHT, FLUID (INCL COFFEE CRM, TABLE CREAM)"
DRDIFDCD,12110300,"CREAM, LIGHT, WHIPPED, UNSWEETENED"
DRDIFDCD,12120100,"CREAM, HALF & HALF"
DRDIFDCD,12130100,"CREAM, HEAVY, FLUID"
DRDIFDCD,12140000,"CREAM, HEAVY, WHIPPED, SWEETENED"
DRDIFDCD,12140100,"CREAM, WHIPPED, PRESSURIZED CONTAINER"
DRDIFDCD,12200100,"CREAM SUBSTITUTE, NS AS TO FROZEN,LIQUID OR POWDER"
DRDIFDCD,12210100,"CREAM SUBSTITUTE, FROZEN"
DRDIFDCD,12210200,"CREAM SUBSTITUTE, LIQUID (INCLUDE COFFEE WHITNER)"
DRDIFDCD,12210250,"CREAM SUBSTITUTE, LIGHT, LIQUID"
DRDIFDCD,12210400,"CREAM SUBSTITUTE, POWDERED"
DRDIFDCD,12210410,"CREAM SUBST, LIGHT, POWDERED (INCL COFFEE MATE, CRE"
DRDIFDCD,12220000,"WHIPPED TOPPING, NONDAIRY, NS AS TO CND/FRZ/POWDER"
DRDIFDCD,12220100,"WHIPPED TOPPING, NONDAIRY, PRESSURIZED CAN"
DRDIFDCD,12220200,"WHIPPED TOPPING, NONDAIRY, FROZEN (INCL COOL WHIP)"
DRDIFDCD,12220250,"WHIPPED TOPPING, NONDAIRY, FZN, LOWFAT (INCL COOL)"
DRDIFDCD,12220300,"WHIPPED CREAM SUBST, NONDAIRY, FROM POWDERED MIX"
DRDIFDCD,12310100,SOUR CREAM (INCL W/ CHIVES)
DRDIFDCD,12310300,"SOUR CREAM, REDUCED FAT"
DRDIFDCD,12310350,"SOUR CREAM, LIGHT"
DRDIFDCD,12310370,"SOUR CREAM, FAT FREE"
DRDIFDCD,12320100,"SOUR CREAM, IMITATION"
DRDIFDCD,12350000,"DIP, SOUR CREAM BASE (INCLUDE BUTTERMILK-TYPE DIP)"
DRDIFDCD,12350020,"DIP, SOUR CREAM BASE, REDUCED CALORIE"
DRDIFDCD,12350100,"SPINACH DIP, SOUR CREAM BASE"
DRDIFDCD,13110000,"ICE CREAM, NFS"
DRDIFDCD,13110100,"ICE CREAM, REGULAR, NOT CHOCOLATE"
DRDIFDCD,13110110,"ICE CREAM, REGULAR, CHOCOLATE"
DRDIFDCD,13110120,"ICE CREAM, RICH, FLAVORS OTHER THAN CHOCOLATE"
DRDIFDCD,13110130,"ICE CREAM, RICH, CHOCOLATE"
DRDIFDCD,13110140,"ICE CREAM, RICH, NS AS TO FLAVOR"
DRDIFDCD,13110200,"ICE CREAM, SOFT SERVE, NOT CHOCOLATE"
DRDIFDCD,13110210,"ICE CREAM, SOFT SERVE, CHOCOLATE"
DRDIFDCD,13110220,"ICE CREAM, SOFT SERVE, NS AS TO FLAVOR"
DRDIFDCD,13120050,"ICE CREAM BAR OR STICK, NOT CHOC- OR CAKE-COVERED"
